,recall,precision,Top-K
0,0.896887159533074,0.8529139685476411,1
1,0.9610894941634242,0.4569842738205365,2
2,0.9717898832684825,0.3080481036077706,3
3,0.9854085603112841,0.23427382053654025,4
4,0.9883268482490273,0.1879740980573543,5
5,0.9912451361867705,0.15710761640456367,6
6,0.9922178988326849,0.13479582397251222,7
7,0.9931906614785992,0.11806197964847363,8
8,0.9931906614785992,0.10494398190975435,9
9,0.995136186770428,0.09463459759481961,10
10,0.9961089494163424,0.08611554957530906,11
11,0.9961089494163424,0.07893925377736663,12
12,0.9961089494163424,0.07286700348679997,13
13,0.9970817120622568,0.06772829390775736,14
14,0.9970817120622568,0.06321307431390688,15
15,0.9980544747081712,0.059320074005550415,16
16,0.9980544747081712,0.055830657887576865,17
17,0.9990272373540856,0.05278034741494501,18
18,0.9990272373540856,0.050002434393105796,19
19,0.9990272373540856,0.04750231267345051,20
