,recall,precision,Top-K
0,0.40994950439498784,0.8379204892966361,1
1,0.5840658313072751,0.5969036697247706,2
2,0.6749579203291566,0.4598623853211009,3
3,0.7303160650832242,0.373184250764526,4
4,0.7628576772021695,0.3118501529051988,5
5,0.790349728819899,0.26924057084607544,6
6,0.8077426594351973,0.23585626911314986,7
7,0.8215821956237143,0.20991016819571864,8
8,0.8352347110529269,0.1896873938158342,9
9,0.8457078735739667,0.17285932721712538,10
10,0.8518795586310081,0.15829163191548512,11
11,0.8601084720403965,0.14650229357798164,12
12,0.8657190948195249,0.13611503175723358,13
13,0.8690854684870021,0.12688401048492792,14
14,0.8743220497475219,0.11913863404689093,15
15,0.8775014026556948,0.11209862385321101,16
16,0.8797456517673462,0.105774419859687,17
17,0.8827379839162147,0.10023785253143051,18
18,0.8872264821395175,0.09544503460486077,19
19,0.8911539180849074,0.09107415902140673,20
