,recall,precision,Top-K
0,0.8910505836575876,0.84736355226642,1
1,0.9552529182879378,0.45420906567992597,2
2,0.9776264591439688,0.3098982423681776,3
3,0.9863813229571985,0.2345050878815911,4
4,0.9902723735408561,0.18834412580943571,5
5,0.995136186770428,0.15772432932469935,6
6,0.995136186770428,0.13519228227831373,7
7,0.9961089494163424,0.11840888066604996,8
8,0.9970817120622568,0.10535512385651145,9
9,0.9980544747081712,0.09491211840888067,10
10,1.0,0.08645193844083761,11
11,1.0,0.07924761023743447,12
12,1.0,0.07315164021917028,13
13,1.0,0.06792652306065812,14
14,1.0,0.06339808818994758,15
15,1.0,0.05943570767807586,16
16,1.0,0.05593948957936551,17
17,1.0,0.05283174015828965,18
18,1.0,0.05005112225522177,19
19,1.0,0.04754856614246068,20
