,recall,precision,Top-K
0,0.7879417879417879,0.29678935003915424,1
1,0.9282744282744283,0.17482380579483164,2
2,0.9667359667359667,0.12137823022709475,3
3,0.9792099792099792,0.09220830070477683,4
4,0.9823284823284824,0.0740015661707126,5
5,0.9875259875259875,0.06199425737405377,6
6,0.9906444906444907,0.05330573889696834,7
7,0.9927234927234927,0.04674040720438528,8
8,0.9948024948024948,0.04163403811015401,9
9,0.9958419958419958,0.0375097885669538,10
10,0.9958419958419958,0.03409980778813981,11
11,0.9958419958419958,0.03125815713912816,12
12,0.9958419958419958,0.02885368351304138,13
13,0.9968814968814969,0.02682067345340642,14
14,0.9968814968814969,0.02503262855651266,15
15,0.9968814968814969,0.023468089271730618,16
16,0.9968814968814969,0.022087613432217053,17
17,0.9968814968814969,0.020860523797093883,18
18,0.997920997920998,0.019783209001360096,19
19,0.997920997920998,0.018794048551292093,20
