,Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,RI-WA,Precision,0.0650630914826498,0.0426333531627999,0.0337317397078353,0.0284056811362272,0.023953058435817,0.0211277082492262,0.0187684643457104,0.0173607575603299,0.016130498000727,0.0149841947534792,0.0139336279871151,0.0132000689298638,0.0124205753695839,0.0117846620837425,0.0112359550561797,0.0107058514825505,0.0102395001735508,0.009920308422859,0.0095240224462876,0.0092112838226827
11,RI-WA,CSSR,4.498288628219921e-05,8.945137836006728e-05,0.00013356511581425872,0.0001773418363759573,0.0002206751136580601,0.00026361816085411857,0.0003062064534265004,0.0003484045159128379,0.00039037198789378564,0.0004320733939069758,0.00047356194714596,0.0005146602702988999,0.00055552800294645,0.0005960409809703235,0.0006361992043705202,0.0006759849354158565,0.0007154336495687,0.0007545453468290506,0.0007933909781216438,0.0008318818547905603
12,IA-DS,Recall,0.4423040957546287,0.6491490555451656,0.7501402655694782,0.8013839536188517,0.8331774827005798,0.8524406209089209,0.8657190948195249,0.8748831120254348,0.881615859360389,0.887600523658126,0.8917149803628203,0.8939592294744717,0.8963904993454274,0.8997568730129044,0.9023751636431644,0.90480643351412,0.9059285580699458,0.9070506826257716,0.90873386945951,0.91004301477464
13,IA-DS,Precision,0.904051987767584,0.6634174311926605,0.511085626911315,0.4094992354740061,0.3405963302752293,0.2904109589041095,0.252812670671764,0.2235603345280764,0.2002548853016142,0.1814636384491856,0.1657397107897664,0.1523214684044485,0.1409954697887862,0.1314229518944464,0.12302396736359,0.1156586182165909,0.1090131652976257,0.1031103174096987,0.0978906863831416,0.0931594968697949
14,IA-DS,CSSR,1.5561053794562967e-05,3.1122107589125934e-05,4.6683161383688904e-05,6.224421517825187e-05,7.780526897281484e-05,9.336037435231872e-05,0.00010891547973182261,0.0001244705851113265,0.00014002569049083037,0.00015557484745527518,0.00017112400441971997,0.00018666721296910568,0.00020221042151849142,0.00021775363006787713,0.00023329683861726284,0.0002488222019214713,0.00026431782315038436,0.00027979559913412014,0.00029526147828773776,0.0003107035637811191
15,WA-AB,Recall,0.7441634241245136,0.853112840466926,0.9036964980544748,0.9299610894941636,0.9474708171206224,0.9610894941634242,0.9727626459143968,0.9747081712062255,0.9785992217898832,0.9815175097276264,0.9824902723735408,0.985408560311284,0.9873540856031128,0.9873540856031128,0.9883268482490272,0.990272373540856,0.990272373540856,0.9922178988326849,0.9922178988326849,0.9941634241245136
16,WA-AB,Precision,0.7076780758556892,0.4060185185185185,0.2873492112588927,0.2224290367612843,0.1821582195623714,0.1550776958091351,0.1356300013563,0.1201294808775926,0.1085455330168321,0.0992914780555008,0.0916598602414012,0.085622517116051,0.0805491627648599,0.0760926606192368,0.0723595185528096,0.0691717061901202,0.0663192182410423,0.0639658848614072,0.0618369202788723,0.0600929029223261
17,WA-AB,CSSR,0.0009157509157509158,0.0018298075652377224,0.0027387814159322023,0.003640978201570246,0.004529620857095418,0.005397085184319227,0.0062459125826378374,0.007065937454466594,0.007851229867881117,0.008608566887937841,0.009334559982108548,0.010022432085336803,0.01067472459701877,0.01129990884847499,0.011894596307177251,0.012467258304446093,0.013003493577036594,0.013508384923741075,0.013973461013238996,0.0144071931768509
18,WA-AG,Recall,0.5758354755784062,0.715509854327335,0.781491002570694,0.8234790059982862,0.8526135389888603,0.8731790916880892,0.8903170522707797,0.9005998286203942,0.9117395029991432,0.9160239931448158,0.9220222793487576,0.9297343616109685,0.9348757497857756,0.93573264781491,0.9400171379605828,0.9417309340188518,0.9425878320479862,0.94515852613539,0.9477292202227936,0.948586118251928
19,WA-AG,Precision,0.4930300807043287,0.3067597354886113,0.2235842118166217,0.1770123411309633,0.1470370917688784,0.125833539145468,0.1102855323214096,0.097995337995338,0.0886371209596801,0.080581938790894,0.0741608656695844,0.0689633254941842,0.064384774269696,0.0602017751805502,0.0568011184176461,0.0537145650048875,0.0509613157285151,0.0485988720479379,0.046495985202001,0.0445204102151618
20,WA-AG,CSSR,0.00030998140111593303,0.0006190530989270504,0.00092766994508576,0.0012346948104610422,0.0015389905659218773,0.0018416943405992852,0.0021425787086670617,0.002439141986036964,0.0027300196177517683,0.003017031010421106,0.0032997213123925695,0.003578090523666159,0.003853730625025301,0.004125277061512773,0.004392274981476167,0.004653132404132054,0.004908986458611456,0.005161656551524003,0.005409778127912472,0.00565494316856029
21,AB-AG,Recall,0.5681233933161953,0.7257926306769494,0.794344473007712,0.8449014567266495,0.8654670094258783,0.8894601542416453,0.908311910882605,0.9245929734361612,0.9314481576692374,0.9348757497857756,0.9374464438731792,0.9400171379605828,0.9417309340188518,0.94515852613539,0.9468723221936588,0.9477292202227936,0.9502999143101972,0.9528706083976008,0.9554413024850044,0.9562982005141388
22,AB-AG,Precision,0.4864269992663242,0.3110539845758355,0.2272058823529411,0.1816841717339229,0.1494303891108152,0.1284335560504825,0.112874028324992,0.1009543413173652,0.0908255347593582,0.0824267150196434,0.0755420522027344,0.0698859654711091,0.0650796470657902,0.0610877270713336,0.0575610772516539,0.0544210992471583,0.0517595444786707,0.0494288127305863,0.0473440618232771,0.0453806115810019
23,AB-AG,CSSR,0.00030998140111593303,0.0006192805247532544,0.0009278973709119639,0.0012342399588086343,0.001537171159312246,0.0018380555273800226,0.0021357559338809444,0.002430727230467419,0.0027218322880084274,0.003010208235634989,0.003293580815085064,0.003569903193922818,0.003840539927105474,0.0041064007179378486,0.004365893585636512,0.0046219750659421185,0.004872825752245034,0.005116398812109424,0.0053561056329283485,0.005592855918006622
