,Dataset,Ablation,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
19,RI-AB,wo-WarmUp,Precision,0.7678075855689177,0.4357076780758557,0.3028060437866173,0.2298797409805735,0.1857539315448658,0.1557200123342584,0.1340029073609092,0.1174838112858464,0.1047384109363757,0.0944495837187789,0.0859473551425447,0.0787850755473327,0.0727246851206148,0.0675300647548566,0.0632130743139068,0.0593200740055504,0.0558850737334711,0.0528317401582896,0.0500511222552217,0.0475485661424606
20,RI-AB,wo-WarmUp,Cssr,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
21,RI-WA,wo-WarmUp,Recall,0.6954261954261954,0.8451143451143451,0.918918918918919,0.9449064449064448,0.9584199584199584,0.9667359667359668,0.976091476091476,0.9844074844074844,0.9875259875259876,0.9875259875259876,0.9896049896049895,0.9906444906444908,0.9927234927234928,0.9927234927234928,0.9948024948024948,0.9948024948024948,0.9958419958419958,0.9958419958419958,0.9958419958419958,0.9958419958419958
22,RI-WA,wo-WarmUp,Precision,0.2619420516836335,0.1591620986687549,0.1153745758287653,0.0889780736100235,0.0722004698512137,0.0606891151135473,0.0525226535406645,0.0463488645262333,0.0413295049160358,0.0371965544244322,0.0338862390546024,0.0310950143565648,0.0287633275103909,0.0267088041167915,0.0249804228660924,0.0234191464369616,0.0220645815099728,0.0208387714260854,0.0197419939826072,0.0187548942834769
23,RI-WA,wo-WarmUp,Cssr,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
24,AB-AG,wo-Enrich,Recall,0.6786632390745502,0.8286203941730934,0.8868894601542416,0.919451585261354,0.9417309340188518,0.9562982005141388,0.9682947729220224,0.9751499571550986,0.9777206512425022,0.9811482433590404,0.9828620394173092,0.9845758354755784,0.9854327335047128,0.987146529562982,0.9880034275921166,0.9897172236503856,0.9914310197086548,0.9931448157669236,0.9931448157669236,0.9940017137960584
25,AB-AG,wo-Enrich,Precision,0.5810711665443874,0.3547322083639032,0.2531181217901687,0.1968085106382978,0.1612619222303741,0.1364636830520909,0.1184362226181742,0.1043653705062362,0.0930137767995435,0.0840058694057226,0.0765023677716267,0.0702494497432135,0.0649020825102996,0.0603710302903259,0.0563952066519931,0.0529622157006603,0.0499331060377195,0.0472405641151055,0.0447542186353631,0.0425531914893617
26,AB-AG,wo-Enrich,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
27,WA-AG,wo-WarmUp,Recall,0.6606683804627249,0.8131962296486718,0.8800342759211653,0.9117395029991432,0.9297343616109685,0.94515852613539,0.9597257926306768,0.9648671808054842,0.9674378748928878,0.9725792630676948,0.9768637532133676,0.9794344473007712,0.9811482433590404,0.9811482433590404,0.9828620394173092,0.9828620394173092,0.983718937446444,0.9854327335047128,0.9854327335047128,0.9854327335047128
28,WA-AG,wo-WarmUp,Precision,0.5656639765223771,0.3481291269258987,0.2511616532159452,0.1951577402787967,0.1592076302274394,0.1348740523355343,0.1173881144534115,0.1032648569332355,0.0920355425124317,0.0832721936903888,0.0760354832255052,0.0698826118855465,0.0646198995428636,0.060004192432659,0.0561017363658596,0.0525953778429933,0.0495446894825428,0.0468737262574386,0.0444066880333629,0.0421863536316947
29,WA-AG,wo-WarmUp,Cssr,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
30,RI-AB,wo-target,Recall,0.7217898832684825,0.8589494163424124,0.91147859922179,0.946498054474708,0.958171206225681,0.9678988326848248,0.9717898832684824,0.980544747081712,0.980544747081712,0.9834630350194552,0.9844357976653696,0.9863813229571984,0.9883268482490272,0.9883268482490272,0.990272373540856,0.990272373540856,0.9912451361867703,0.9931906614785992,0.995136186770428,0.9961089494163424
31,RI-AB,wo-target,Precision,0.6864014801110083,0.408418131359852,0.2889300030835646,0.225023126734505,0.1822386679000925,0.1534073388837496,0.1320206158319016,0.1165587419056429,0.1036077705827937,0.0935245143385753,0.0851063829787234,0.078168362627197,0.0722977300220593,0.0671336064490551,0.0627813752698119,0.0588575393154486,0.0554497469663165,0.0524719909548771,0.0498076829446419,0.0473635522664199
32,RI-AB,wo-target,Cssr,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
33,RI-AB,wo-Enrich,Recall,0.7529182879377432,0.8628404669260701,0.9212062256809338,0.943579766536965,0.9610894941634242,0.9698443579766536,0.9737354085603112,0.9766536964980544,0.9815175097276264,0.9844357976653696,0.9844357976653696,0.9863813229571984,0.9873540856031128,0.9883268482490272,0.9912451361867703,0.9912451361867703,0.9931906614785992,0.9931906614785992,0.9931906614785992,0.9941634241245136
34,RI-AB,wo-Enrich,Precision,0.7160037002775208,0.410268270120259,0.2920135676842429,0.2243293246993524,0.1827937095282146,0.1537156953438174,0.1322849213691027,0.1160962072155411,0.1037105560694829,0.0936170212765957,0.0851063829787234,0.078168362627197,0.0722265708389667,0.0671336064490551,0.0628430465618254,0.0589153561517113,0.0555585786581052,0.0524719909548771,0.0497103072204099,0.0472710453283996
35,RI-AB,wo-Enrich,Cssr,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
