,Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,AB-WA,Precision,0.1781519185591229,0.1186374314800313,0.0886191594883842,0.0693030540328895,0.0574001566170712,0.0484860349778125,0.042398478577022,0.0375880971025841,0.0338466892891325,0.0307752545027408,0.0281910728269381,0.0260702166536152,0.0241852900427685,0.0225137039937353,0.0210649960845732,0.0198952623335943,0.0189092081625132,0.0179674584529713,0.0170836252730494,0.0162685982772122
11,AB-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305246,0.0001812086617740328,0.000226510827217541,0.0002718129926610492,0.0003171151581045574,0.0003624173235480656,0.0004077194889915738,0.000453021654435082,0.0004983238198785902,0.0005436259853220984,0.0005889281507656066,0.0006342303162091148,0.000679532481652623,0.0007248346470961312,0.0007701368125396393,0.0008154389779831476,0.0008607411434266558,0.000906043308870164
12,IA-DA,Recall,0.9702702702702702,0.9837837837837838,0.9873873873873874,0.9887387387387389,0.9905405405405404,0.9914414414414414,0.9936936936936936,0.994144144144144,0.994144144144144,0.9945945945945946,0.9945945945945946,0.9954954954954957,0.995945945945946,0.995945945945946,0.9968468468468468,0.9968468468468468,0.9968468468468468,0.9968468468468468,0.9968468468468468,0.9968468468468468
13,IA-DA,Precision,0.823394495412844,0.4174311926605504,0.2793068297655454,0.2097668195718654,0.1681192660550458,0.1402268093781855,0.1204674530362603,0.1054568042813455,0.0937393815834182,0.0844036697247706,0.0767306088407005,0.0704001019367991,0.0650141143260409,0.060370249017038,0.0563965341488277,0.0528717507645259,0.0497616477783774,0.0469971117906897,0.0445235795911797,0.0422974006116207
14,IA-DA,CSSR,0.00043591979075850045,0.0008718395815170009,0.0013077593722755014,0.0017436791630340018,0.002179598953792502,0.0026155187445510027,0.003051438535309503,0.0034873583260680036,0.003923278116826504,0.004359197907585004,0.004795117698343505,0.0052310374891020054,0.005666957279860506,0.006102877070619006,0.006538796861377506,0.006974716652136007,0.0074106364428945075,0.007846556233653008,0.008282476024411508,0.008718395815170008
15,IA-DS,Recall,0.4372545352534131,0.656068823639424,0.7688423414999065,0.8316813166261455,0.8698335515242192,0.896203478586123,0.9117262016083786,0.9231344679259398,0.9319244436132412,0.9397793155040208,0.9455769590424538,0.9498784365064522,0.953618851692538,0.9573592668786236,0.9601645782681878,0.9618477651019264,0.9635309519356648,0.9646530764914906,0.9661492425659248,0.9665232840845334
16,IA-DS,Precision,0.8937308868501529,0.6704892966360856,0.5238277268093782,0.4249808868501529,0.3555810397553516,0.3053007135575943,0.266218872870249,0.2358562691131498,0.2116462793068297,0.1920871559633027,0.1757019738671114,0.1617928134556575,0.149935309338979,0.1397717343818261,0.1308358817533129,0.1228736620795107,0.1158481741320381,0.1095395854570166,0.1039352969579913,0.0987767584097859
17,IA-DS,CSSR,1.5561053794562967e-05,3.1122107589125934e-05,4.6683161383688904e-05,6.224421517825187e-05,7.780526897281484e-05,9.336632276737781e-05,0.00010892737656194078,0.00012448843035650373,0.0001400494841510667,0.00015561053794562967,0.00017117159174019264,0.00018673264553475561,0.00020229369932931858,0.00021785475312388155,0.00023341580691844453,0.00024897686071300747,0.00026453791450757044,0.0002800989683021334,0.0002956600220966964,0.00031122107589125935
18,WA-AB,Recall,0.3287937743190661,0.448443579766537,0.5107003891050583,0.5496108949416343,0.5846303501945526,0.603112840466926,0.6264591439688716,0.6371595330739299,0.6507782101167315,0.6673151750972762,0.6741245136186771,0.683852140077821,0.7013618677042801,0.7091439688715954,0.7130350194552529,0.7208171206225681,0.730544747081712,0.7354085603112841,0.7392996108949417,0.7431906614785992
19,WA-AB,Precision,0.3126734505087881,0.2132284921369102,0.1618871415356151,0.1306660499537465,0.1111933395004625,0.0955905026210299,0.0851063829787234,0.0757400555041628,0.0687634905951279,0.0634597594819611,0.0582793709528214,0.0541936478569226,0.0513057710097488,0.048169684154883,0.0452050570459451,0.0428422756706753,0.0408663002666376,0.0388529139685476,0.0370027752081406,0.0353376503237742
20,WA-AB,CSSR,0.0009157509157509158,0.0018315018315018315,0.0027472527472527475,0.003663003663003663,0.004578754578754579,0.005494505494505495,0.00641025641025641,0.007326007326007326,0.008241758241758242,0.009157509157509158,0.010073260073260074,0.01098901098901099,0.011904761904761904,0.01282051282051282,0.013736263736263736,0.014652014652014652,0.015567765567765568,0.016483516483516484,0.0173992673992674,0.018315018315018316
21,AB-AG,Recall,0.5998286203941731,0.7592116538131962,0.8234790059982862,0.8628963153384748,0.895458440445587,0.9151670951156812,0.9331619537275064,0.9460154241645244,0.9537275064267352,0.9622964867180804,0.9682947729220224,0.9717223650385604,0.974293059125964,0.9768637532133676,0.9768637532133676,0.9794344473007712,0.9811482433590404,0.9820051413881749,0.9820051413881749,0.9828620394173092
22,AB-AG,Precision,0.5135730007336757,0.3250183418928833,0.2350207874786011,0.1847028613352898,0.1533382245047689,0.1305942773294204,0.1141389791426475,0.1012472487160675,0.090731230129616,0.0823917828319882,0.0753685053024744,0.0693323550990462,0.0641684067949658,0.0597421653914684,0.0557593543653705,0.0524119589141599,0.0494152172974839,0.0467106872095866,0.0442522299880295,0.0420763022743947
23,AB-AG,CSSR,0.00030998140111593303,0.0006199628022318661,0.0009299442033477991,0.0012399256044637321,0.0015499070055796653,0.0018598884066955983,0.0021698698078115313,0.0024798512089274642,0.002789832610043397,0.0030998140111593306,0.0034097954122752636,0.0037197768133911966,0.0040297582145071295,0.0043397396156230625,0.0046497210167389955,0.0049597024178549285,0.0052696838189708614,0.005579665220086794,0.005889646621202728,0.006199628022318661
