Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
IA-DA,CSSR,0.0004359197907585,0.000871839581517,0.0013077593722755,0.001743679163034,0.0021795989537925,0.002615518744551,0.0030514385353095,0.003487358326068,0.0039232781168265,0.004359197907585,0.0047951176983435,0.005231037489102,0.0056669572798605,0.006102877070619,0.0065387968613775,0.006974716652136,0.0074106364428945,0.007846556233653,0.0082824760244115,0.00871839581517
WA-AG,Recall,0.4987146529562982,0.6323907455012854,0.6855184233076264,0.7275064267352185,0.7600685518423308,0.7892030848329049,0.7994858611825193,0.7960582690659811,0.803770351328192,0.8149100257069408,0.8243359040274207,0.844044558697515,0.844044558697515,0.8491859468723222,0.8577549271636675,0.8500428449014568,0.8534704370179949,0.8551842330762639,0.8611825192802056,0.856898029134533
WA-AG,Precision,0.4269992663242846,0.2707263389581805,0.1956468574223526,0.1557226705796038,0.1301540719002201,0.1126192223037417,0.0977884917723509,0.0851980924431401,0.0764653134425695,0.0697725605282465,0.0641632761955579,0.0602225483003179,0.0555900445849088,0.051933759563987,0.0489606260699437,0.0454878943506969,0.042984765439558,0.0406782424390641,0.0388075838900258,0.0366837857666911
WA-AG,CSSR,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
AB-AG,Recall,0.4987146529562982,0.6323907455012854,0.6855184233076264,0.7275064267352185,0.7600685518423308,0.7892030848329049,0.7994858611825193,0.7960582690659811,0.803770351328192,0.8149100257069408,0.8243359040274207,0.844044558697515,0.844044558697515,0.8491859468723222,0.8577549271636675,0.8500428449014568,0.8534704370179949,0.8551842330762639,0.8611825192802056,0.856898029134533
AB-AG,Precision,0.4269992663242846,0.2707263389581805,0.1956468574223526,0.1557226705796038,0.1301540719002201,0.1126192223037417,0.0977884917723509,0.0851980924431401,0.0764653134425695,0.0697725605282465,0.0641632761955579,0.0602225483003179,0.0555900445849088,0.051933759563987,0.0489606260699437,0.0454878943506969,0.042984765439558,0.0406782424390641,0.0388075838900258,0.0366837857666911
AB-AG,CSSR,0.0003099814011159,0.0006199628022318,0.0009299442033477,0.0012399256044637,0.0015499070055796,0.0018598884066955,0.0021698698078115,0.0024798512089274,0.0027898326100433,0.0030998140111593,0.0034097954122752,0.0037197768133911,0.0040297582145071,0.004339739615623,0.0046497210167389,0.0049597024178549,0.0052696838189708,0.0055796652200867,0.0058896466212027,0.0061996280223186
RI-WA,Recall,0.577962577962578,0.7286902286902287,0.7858627858627859,0.8201663201663202,0.8471933471933472,0.8814968814968815,0.8804573804573804,0.8981288981288982,0.895010395010395,0.9012474012474012,0.9147609147609148,0.920997920997921,0.9251559251559252,0.9303534303534304,0.9365904365904366,0.9251559251559252,0.9376299376299376,0.9345114345114344,0.9334719334719336,0.9355509355509356
RI-WA,Precision,0.2176977290524667,0.1372357086922474,0.0986687548942834,0.0772317932654659,0.0638214565387627,0.0553380318454711,0.0473766640563821,0.0422866092404072,0.0374575828765335,0.0339467501957713,0.0313234142521534,0.0289089010702166,0.0268056141196313,0.025030764067569,0.0235186635343252,0.0217795614722004,0.0207747938642959,0.0195553815365874,0.0185055434200222,0.0176194205168363
RI-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305,0.000181208661774,0.0002265108272175,0.000271812992661,0.0003171151581045,0.000362417323548,0.0004077194889915,0.000453021654435,0.0004983238198785,0.000543625985322,0.0005889281507656,0.0006342303162091,0.0006795324816526,0.0007248346470961,0.0007701368125396,0.0008154389779831,0.0008607411434266,0.0009060433088701
RI-AB,Recall,0.3822957198443579,0.4785992217898833,0.5428015564202334,0.5758754863813229,0.6021400778210116,0.6011673151750972,0.6459143968871596,0.6546692607003891,0.6575875486381323,0.6712062256809338,0.6906614785992218,0.6974708171206225,0.6877431906614786,0.7354085603112841,0.7159533073929961,0.7217898832684825,0.7373540856031129,0.7480544747081712,0.7373540856031129,0.7519455252918288
RI-AB,Precision,0.3635522664199815,0.2275670675300647,0.1720629047178538,0.1369102682701202,0.1145235892691951,0.095282146160962,0.0877494383507334,0.0778214616096207,0.0694829890019529,0.0638297872340425,0.0597090236313178,0.05527289546716,0.0503095424464527,0.0499537465309898,0.0453900709219858,0.042900092506938,0.0412472111878979,0.0395210196320279,0.0369053994839086,0.0357539315448658
RI-AB,CSSR,0.0009157509157509,0.0018315018315018,0.0027472527472527,0.0036630036630036,0.0045787545787545,0.0054945054945054,0.0064102564102564,0.0073260073260073,0.0082417582417582,0.0091575091575091,0.01007326007326,0.0109890109890109,0.0119047619047619,0.0128205128205128,0.0137362637362637,0.0146520146520146,0.0155677655677655,0.0164835164835164,0.0173992673992674,0.0183150183150183
