,Dataset,Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,AB-WA,Precision,0.2967893500391542,0.1748238057948316,0.1213782302270947,0.0922083007047768,0.0740015661707126,0.0619942573740537,0.0533057388969683,0.0467404072043852,0.041634038110154,0.0375097885669538,0.0340998077881398,0.0312581571391281,0.0288536835130413,0.0268206734534064,0.0250326285565126,0.0234680892717306,0.022087613432217,0.0208605237970938,0.01978320900136,0.018794048551292
11,AB-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305246,0.0001812086617740328,0.000226510827217541,0.0002718129926610492,0.0003171151581045574,0.0003624173235480656,0.0004077194889915738,0.000453021654435082,0.0004983238198785902,0.0005436259853220984,0.0005889281507656066,0.0006342303162091148,0.000679532481652623,0.0007248346470961312,0.0007701368125396393,0.0008154389779831476,0.0008607411434266558,0.000906043308870164
12,RI-AB,Recall,0.8910505836575876,0.9552529182879378,0.9776264591439688,0.9863813229571984,0.990272373540856,0.995136186770428,0.995136186770428,0.9961089494163424,0.9970817120622568,0.9980544747081712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,RI-AB,Precision,0.84736355226642,0.4542090656799259,0.3098982423681776,0.2345050878815911,0.1883441258094357,0.1577243293246993,0.1351922822783137,0.1184088806660499,0.1053551238565114,0.0949121184088806,0.0864519384408376,0.0792476102374344,0.0731516402191702,0.0679265230606581,0.0633980881899475,0.0594357076780758,0.0559394895793655,0.0528317401582896,0.0500511222552217,0.0475485661424606
14,RI-AB,CSSR,0.0009157509157509158,0.0018315018315018315,0.0027472527472527475,0.003663003663003663,0.004578754578754579,0.005494505494505495,0.00641025641025641,0.007326007326007326,0.008241758241758242,0.009157509157509158,0.010073260073260074,0.01098901098901099,0.011904761904761904,0.01282051282051282,0.013736263736263736,0.014652014652014652,0.015567765567765568,0.016483516483516484,0.0173992673992674,0.018315018315018316
15,AB-AG,Recall,0.6940874035989717,0.8491859468723222,0.908311910882605,0.9365895458440444,0.9545844044558698,0.9657240788346186,0.974293059125964,0.9777206512425022,0.9820051413881749,0.9862896315338476,0.988860325621251,0.9905741216795202,0.9931448157669236,0.9940017137960584,0.9957155098543272,0.9974293059125964,0.9974293059125964,0.9974293059125964,0.998286203941731,0.998286203941731
16,AB-AG,Precision,0.5942773294203962,0.363536316947909,0.2592320860846173,0.2004768892149669,0.1634629493763756,0.1378087551968696,0.119169898333508,0.1046404988994864,0.0934213744191733,0.0844460748349229,0.0769692523177482,0.0706774272438248,0.0654100118516846,0.060790273556231,0.0568354120811934,0.0533749082905355,0.050235207802857,0.0474443629249205,0.0449859057033633,0.0427366104181951
17,AB-AG,CSSR,0.00030998140111593303,0.0006199628022318661,0.0009299442033477991,0.0012399256044637321,0.0015499070055796653,0.0018598884066955983,0.0021698698078115313,0.0024798512089274642,0.002789832610043397,0.0030998140111593306,0.0034097954122752636,0.0037197768133911966,0.0040297582145071295,0.0043397396156230625,0.0046497210167389955,0.0049597024178549285,0.0052696838189708614,0.005579665220086794,0.005889646621202728,0.006199628022318661
18,RI-WA,Recall,0.7463617463617463,0.895010395010395,0.9542619542619544,0.971933471933472,0.9833679833679834,0.9864864864864864,0.9906444906444908,0.9927234927234928,0.9927234927234928,0.9927234927234928,0.9937629937629938,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969,0.9968814968814969
19,RI-WA,Precision,0.2811276429130775,0.1685591229444009,0.119812059514487,0.0915231010180109,0.0740798747063429,0.0619290002610284,0.0533057388969683,0.0467404072043852,0.0415470286261202,0.0373923257635082,0.034028618210294,0.0312907856956408,0.0288838021805915,0.0268206734534064,0.0250326285565126,0.0234680892717306,0.022087613432217,0.0208605237970938,0.0197626014919836,0.0187744714173844
20,RI-WA,CSSR,4.53021654435082e-05,9.06043308870164e-05,0.0001359064963305246,0.0001812086617740328,0.000226510827217541,0.0002718129926610492,0.0003171151581045574,0.0003624173235480656,0.0004077194889915738,0.000453021654435082,0.0004983238198785902,0.0005436259853220984,0.0005889281507656066,0.0006342303162091148,0.000679532481652623,0.0007248346470961312,0.0007701368125396393,0.0008154389779831476,0.0008607411434266558,0.000906043308870164
21,WA-AB,Recall,0.896887159533074,0.9610894941634242,0.9717898832684824,0.985408560311284,0.9883268482490272,0.9912451361867703,0.9922178988326849,0.9931906614785992,0.9931906614785992,0.995136186770428,0.9961089494163424,0.9961089494163424,0.9961089494163424,0.9970817120622568,0.9970817120622568,0.9980544747081712,0.9980544747081712,0.9990272373540856,0.9990272373540856,0.9990272373540856
22,WA-AB,Precision,0.8529139685476411,0.4569842738205365,0.3080481036077706,0.2342738205365402,0.1879740980573543,0.1571076164045636,0.1347958239725122,0.1180619796484736,0.1049439819097543,0.0946345975948196,0.086115549575309,0.0789392537773666,0.0728670034867999,0.0677282939077573,0.0632130743139068,0.0593200740055504,0.0558306578875768,0.052780347414945,0.0500024343931057,0.0475023126734505
23,WA-AB,CSSR,0.0009157509157509158,0.0018315018315018315,0.0027472527472527475,0.003663003663003663,0.004578754578754579,0.005494505494505495,0.00641025641025641,0.007326007326007326,0.008241758241758242,0.009157509157509158,0.010073260073260074,0.01098901098901099,0.011904761904761904,0.01282051282051282,0.013736263736263736,0.014652014652014652,0.015567765567765568,0.016483516483516484,0.0173992673992674,0.018315018315018316
