,recall,precision,size,top-K
0,0.9891891891891892,0.8491879350348028,2586,1
1,0.9963963963963964,0.44107676969092724,5015,2
2,0.9977477477477478,0.3045929592959296,7272,3
3,0.9986486486486487,0.23685897435897435,9360,4
4,0.9986486486486487,0.19615997168642718,11302,5
5,0.9986486486486487,0.16934005499541704,13092,6
6,0.9995495495495496,0.1505529547459122,14739,7
7,0.9995495495495496,0.1362687300417588,16284,8
8,0.9995495495495496,0.12524693796918215,17717,9
9,0.9995495495495496,0.11648905454354559,19049,10
10,0.9995495495495496,0.10929957639641415,20302,11
11,0.9995495495495496,0.10326693968726731,21488,12
12,0.9995495495495496,0.0981597805892241,22606,13
13,0.9995495495495496,0.0937790550249345,23662,14
14,0.9995495495495496,0.09003489410046255,24646,15
15,0.9995495495495496,0.08675085030689238,25579,16
16,0.9995495495495496,0.08384975816203144,26464,17
17,0.9995495495495496,0.08126419102028858,27306,18
18,0.9995495495495496,0.0789426873954961,28109,19
19,0.9995495495495496,0.0768617942500866,28870,20
