,recall,precision,size,top-K
0,0.5681233933161953,0.48642699926632427,1363,1
1,0.7257926306769494,0.3110539845758355,2723,2
2,0.794344473007712,0.22720588235294117,4080,3
3,0.8449014567266495,0.18168417173392298,5427,4
4,0.8654670094258783,0.14943038911081521,6759,5
5,0.8894601542416453,0.12843355605048257,8082,6
6,0.908311910882605,0.112874028324992,9391,7
7,0.9245929734361611,0.10095434131736528,10688,8
8,0.9314481576692374,0.09082553475935828,11968,9
9,0.9348757497857755,0.0824267150196434,13236,10
10,0.9374464438731791,0.07554205220273442,14482,11
11,0.9400171379605827,0.06988596547110913,15697,12
12,0.9417309340188518,0.06507964706579025,16887,13
13,0.9451585261353899,0.06108772707133363,18056,14
14,0.9468723221936589,0.0575610772516539,19197,15
15,0.9477292202227935,0.05442109924715839,20323,16
16,0.9502999143101971,0.051759544478670774,21426,17
17,0.9528706083976007,0.0494288127305863,22497,18
18,0.9554413024850043,0.04734406182327714,23551,19
19,0.9562982005141388,0.04538061158100195,24592,20
