,recall,precision,Top-K,CSSR
0,0.6812339331619537,0.5832721936903889,1,0.00030998140111593303
1,0.8380462724935732,0.3587674247982392,2,0.0006199628022318661
2,0.897172236503856,0.25605282465150403,3,0.0009299442033477991
3,0.9323050556983719,0.1995597945707997,4,0.0012399256044637321
4,0.9528706083976007,0.16316947909024213,5,0.0015499070055796653
5,0.9622964867180805,0.13731963805331376,6,0.0018598884066955983
6,0.9725792630676949,0.11896027670055549,7,0.0021698698078115313
7,0.9785775492716366,0.10473220836390315,8,0.0024798512089274642
8,0.9820051413881749,0.09342137441917339,9,0.002789832610043397
9,0.9854327335047129,0.08437270726338958,10,0.0030998140111593306
10,0.988860325621251,0.07696925231774829,11,0.0034097954122752636
11,0.9914310197086547,0.07073856688676938,12,0.0037197768133911966
12,0.9914310197086547,0.0652971386647102,13,0.0040297582145071295
13,0.9931448157669237,0.060737868147992875,14,0.0043397396156230625
14,0.9940017137960583,0.05673758865248227,15,0.0046497210167389955
15,0.9957155098543273,0.05328319882611886,16,0.0049597024178549285
16,0.9965724078834619,0.050192050407837384,17,0.0052696838189708614
17,0.9965724078834619,0.047403603162957525,18,0.005579665220086794
18,0.9974293059125964,0.04494729119202996,19,0.005889646621202728
19,0.9974293059125964,0.04269992663242847,20,0.006199628022318661
