,recall,precision,Top-K,CSSR
0,0.6726649528706083,0.5759354365370506,1,0.00030998140111593303
1,0.8337617823479005,0.35693323550990463,2,0.0006199628022318661
2,0.8886032562125107,0.2536072389337246,3,0.0009299442033477991
3,0.9237360754070265,0.19772560528246516,4,0.0012399256044637321
4,0.9425878320479862,0.16140865737344093,5,0.0015499070055796653
5,0.9537275064267352,0.13609684519442405,6,0.0018598884066955983
6,0.9682947729220223,0.1184362226181742,7,0.0021698698078115313
7,0.9768637532133676,0.1045487894350697,8,0.0024798512089274642
8,0.9802913453299057,0.09325833537132143,9,0.002789832610043397
9,0.9811482433590403,0.08400586940572267,10,0.0030998140111593306
10,0.9828620394173093,0.07650236777162676,11,0.0034097954122752636
11,0.987146529562982,0.07043286867204696,12,0.0037197768133911966
12,0.988860325621251,0.06512782888424855,13,0.0040297582145071295
13,0.9914310197086547,0.06063305733151661,14,0.0043397396156230625
14,0.9914310197086547,0.056590853509415506,15,0.0046497210167389955
15,0.9948586118251928,0.05323734409391049,16,0.0049597024178549285
16,0.9948586118251928,0.05010573561779811,17,0.0052696838189708614
17,0.9948586118251928,0.04732208363903155,18,0.005579665220086794
18,0.9957155098543273,0.04487006216936325,19,0.005889646621202728
19,0.9957155098543273,0.04262655906089508,20,0.006199628022318661
