,recall,precision,Top-K,CSSR
0,0.9173151750972762,0.8723404255319149,1,0.0009157509157509158
1,0.9620622568093385,0.4574468085106383,2,0.0018315018315018315
2,0.9776264591439688,0.3098982423681776,3,0.0027472527472527475
3,0.9854085603112841,0.23427382053654025,4,0.003663003663003663
4,0.9892996108949417,0.18815911193339502,5,0.004578754578754579
5,0.9931906614785992,0.15741597286463152,6,0.005494505494505495
6,0.995136186770428,0.13519228227831373,7,0.00641025641025641
7,0.9961089494163424,0.11840888066604996,8,0.007326007326007326
8,0.9961089494163424,0.10525233836982219,9,0.008241758241758242
9,0.9961089494163424,0.09472710453283996,10,0.009157509157509158
10,0.9961089494163424,0.08611554957530906,11,0.010073260073260074
11,0.9970817120622568,0.0790163428923836,12,0.01098901098901099
12,0.9980544747081712,0.07300932185298513,13,0.011904761904761904
13,0.9980544747081712,0.06779437029205762,14,0.01282051282051282
14,0.9980544747081712,0.06327474560592045,15,0.013736263736263736
15,0.9980544747081712,0.059320074005550415,16,0.014652014652014652
16,0.9980544747081712,0.055830657887576865,17,0.015567765567765568
17,0.9980544747081712,0.05272895467160037,18,0.016483516483516484
18,0.9980544747081712,0.04995374653098982,19,0.0173992673992674
19,0.9980544747081712,0.047456059204440335,20,0.018315018315018316
