left_num_tuples,right_num_tuples,merge_df,golden_df,candidate_set_df,recall,precision,cssr,topK
1081,1092,393,1028,1081,0.38229571984435795,0.3635522664199815,0.0009157509157509158,1
1081,1092,492,1028,2162,0.4785992217898833,0.22756706753006475,0.0018315018315018315,2
1081,1092,558,1028,3243,0.5428015564202334,0.17206290471785385,0.0027472527472527475,3
1081,1092,592,1028,4324,0.5758754863813229,0.13691026827012026,0.003663003663003663,4
1081,1092,619,1028,5405,0.6021400778210116,0.11452358926919519,0.004578754578754579,5
1081,1092,618,1028,6486,0.6011673151750972,0.09528214616096208,0.005494505494505495,6
1081,1092,664,1028,7567,0.6459143968871596,0.08774943835073344,0.00641025641025641,7
1081,1092,673,1028,8648,0.6546692607003891,0.07782146160962072,0.007326007326007326,8
1081,1092,676,1028,9729,0.6575875486381323,0.06948298900195292,0.008241758241758242,9
1081,1092,690,1028,10810,0.6712062256809338,0.06382978723404255,0.009157509157509158,10
1081,1092,710,1028,11891,0.6906614785992218,0.059709023631317804,0.010073260073260074,11
1081,1092,717,1028,12972,0.6974708171206225,0.055272895467160035,0.01098901098901099,12
1081,1092,707,1028,14053,0.6877431906614786,0.050309542446452714,0.011904761904761904,13
1081,1092,756,1028,15134,0.7354085603112841,0.04995374653098982,0.01282051282051282,14
1081,1092,736,1028,16215,0.7159533073929961,0.04539007092198582,0.013736263736263736,15
1081,1092,742,1028,17296,0.7217898832684825,0.04290009250693802,0.014652014652014652,16
1081,1092,758,1028,18377,0.7373540856031129,0.04124721118789792,0.015567765567765568,17
1081,1092,769,1028,19458,0.7480544747081712,0.039521019632027955,0.016483516483516484,18
1081,1092,758,1028,20539,0.7373540856031129,0.03690539948390866,0.0173992673992674,19
1081,1092,773,1028,21620,0.7519455252918288,0.03575393154486586,0.018315018315018316,20
