left_num_tuples,right_num_tuples,merge_df,golden_df,candidate_set_df,recall,precision,cssr,topK
2554,22074,556,962,2554,0.577962577962578,0.21769772905246673,4.53021654435082e-05,1
2554,22074,701,962,5108,0.7286902286902287,0.13723570869224747,9.06043308870164e-05,2
2554,22074,756,962,7662,0.7858627858627859,0.09866875489428348,0.0001359064963305246,3
2554,22074,789,962,10216,0.8201663201663202,0.07723179326546593,0.0001812086617740328,4
2554,22074,815,962,12770,0.8471933471933472,0.06382145653876273,0.000226510827217541,5
2554,22074,848,962,15324,0.8814968814968815,0.055338031845471154,0.0002718129926610492,6
2554,22074,847,962,17878,0.8804573804573804,0.04737666405638215,0.0003171151581045574,7
2554,22074,864,962,20432,0.8981288981288982,0.042286609240407204,0.0003624173235480656,8
2554,22074,861,962,22986,0.895010395010395,0.03745758287653354,0.0004077194889915738,9
2554,22074,867,962,25540,0.9012474012474012,0.03394675019577134,0.000453021654435082,10
2554,22074,880,962,28094,0.9147609147609148,0.031323414252153486,0.0004983238198785902,11
2554,22074,886,962,30648,0.920997920997921,0.028908901070216653,0.0005436259853220984,12
2554,22074,890,962,33202,0.9251559251559252,0.02680561411963135,0.0005889281507656066,13
2554,22074,895,962,35756,0.9303534303534303,0.02503076406756908,0.0006342303162091148,14
2554,22074,901,962,38310,0.9365904365904366,0.023518663534325242,0.000679532481652623,15
2554,22074,890,962,40864,0.9251559251559252,0.02177956147220047,0.0007248346470961312,16
2554,22074,902,962,43418,0.9376299376299376,0.020774793864295916,0.0007701368125396393,17
2554,22074,899,962,45972,0.9345114345114345,0.019555381536587486,0.0008154389779831476,18
2554,22074,898,962,48526,0.9334719334719335,0.018505543420022256,0.0008607411434266558,19
2554,22074,900,962,51080,0.9355509355509356,0.017619420516836334,0.000906043308870164,20
