left_num_tuples,right_num_tuples,merge_df,golden_df,candidate_set_df,recall,precision,cssr,topK
1363,3226,582,1167,1363,0.4987146529562982,0.42699926632428464,0.00030998140111593303,1
1363,3226,738,1167,2726,0.6323907455012854,0.2707263389581805,0.0006199628022318661,2
1363,3226,800,1167,4089,0.6855184233076264,0.19564685742235266,0.0009299442033477991,3
1363,3226,849,1167,5452,0.7275064267352185,0.15572267057960382,0.0012399256044637321,4
1363,3226,887,1167,6815,0.7600685518423308,0.1301540719002201,0.0015499070055796653,5
1363,3226,921,1167,8178,0.7892030848329049,0.11261922230374175,0.0018598884066955983,6
1363,3226,933,1167,9541,0.7994858611825193,0.09778849177235091,0.0021698698078115313,7
1363,3226,929,1167,10904,0.7960582690659811,0.08519809244314014,0.0024798512089274642,8
1363,3226,938,1167,12267,0.803770351328192,0.0764653134425695,0.002789832610043397,9
1363,3226,951,1167,13630,0.8149100257069408,0.06977256052824651,0.0030998140111593306,10
1363,3226,962,1167,14993,0.8243359040274207,0.06416327619555792,0.0034097954122752636,11
1363,3226,985,1167,16356,0.844044558697515,0.060222548300317924,0.0037197768133911966,12
1363,3226,985,1167,17719,0.844044558697515,0.055590044584908856,0.0040297582145071295,13
1363,3226,991,1167,19082,0.8491859468723222,0.051933759563987006,0.0043397396156230625,14
1363,3226,1001,1167,20445,0.8577549271636675,0.04896062606994375,0.0046497210167389955,15
1363,3226,992,1167,21808,0.8500428449014568,0.04548789435069699,0.0049597024178549285,16
1363,3226,996,1167,23171,0.8534704370179949,0.04298476543955807,0.0052696838189708614,17
1363,3226,998,1167,24534,0.8551842330762639,0.040678242439064156,0.005579665220086794,18
1363,3226,1005,1167,25897,0.8611825192802056,0.03880758389002587,0.005889646621202728,19
1363,3226,1000,1167,27260,0.856898029134533,0.036683785766691124,0.006199628022318661,20
