left_num_tuples,right_num_tuples,merge_df,golden_df,candidate_set_df,recall,precision,cssr,topK
2616,64263,2270,5347,2616,0.4245371236207219,0.867737003058104,1.5561053794562967e-05,1
2616,64263,3340,5347,5232,0.6246493360763045,0.6383792048929664,3.1122107589125934e-05,2
2616,64263,3885,5347,7848,0.7265756498971386,0.49503058103975534,4.6683161383688904e-05,3
2616,64263,4212,5347,10464,0.7877314381896391,0.4025229357798165,6.224421517825187e-05,4
2616,64263,4401,5347,13080,0.8230783616981485,0.3364678899082569,7.780526897281484e-05,5
2616,64263,4546,5347,15696,0.8501963717972695,0.28962793068297654,9.336632276737781e-05,6
2616,64263,4637,5347,18312,0.8672152608939593,0.2532219309742246,0.00010892737656194078,7
2616,64263,4710,5347,20928,0.8808677763231719,0.2250573394495413,0.00012448843035650373,8
2616,64263,4790,5347,23544,0.8958294370675145,0.20344886170574245,0.0001400494841510667,9
2616,64263,4820,5347,26160,0.901440059846643,0.18425076452599387,0.00015561053794562967,10
2616,64263,4856,5347,28776,0.9081728071815972,0.16875173755907702,0.00017117159174019264,11
2616,64263,4874,5347,31392,0.9115391808490743,0.1552624872579001,0.00018673264553475561,12
2616,64263,4910,5347,34008,0.9182719281840285,0.14437779346036228,0.00020229369932931858,13
2616,64263,4930,5347,36624,0.9220123433701141,0.13461118392311053,0.00021785475312388155,14
2616,64263,4943,5347,39240,0.9244436132410697,0.1259683995922528,0.00023341580691844453,15
2616,64263,4949,5347,41856,0.9255657377968954,0.11823872324159021,0.00024897686071300747,16
2616,64263,4974,5347,44472,0.9302412567795025,0.11184565569347005,0.00026453791450757044,17
2616,64263,4987,5347,47088,0.9326725266504582,0.10590808698606864,0.0002800989683021334,18
2616,64263,4992,5347,49704,0.9336076304469796,0.10043457267020763,0.0002956600220966964,19
2616,64263,5012,5347,52320,0.9373480456330653,0.09579510703363914,0.00031122107589125935,20
