,recall,precision,Top-K,CSSR
0,0.8073929961089494,0.7678075855689177,1,0.0009157509157509158
1,0.9163424124513618,0.4357076780758557,2,0.0018315018315018315
2,0.9552529182879378,0.30280604378661735,3,0.0027472527472527475
3,0.9669260700389105,0.22987974098057354,4,0.003663003663003663
4,0.9766536964980544,0.18575393154486586,5,0.004578754578754579
5,0.9824902723735408,0.1557200123342584,6,0.005494505494505495
6,0.9863813229571985,0.13400290736090922,7,0.00641025641025641
7,0.9883268482490273,0.11748381128584644,8,0.007326007326007326
8,0.9912451361867705,0.10473841093637579,9,0.008241758241758242
9,0.9931906614785992,0.09444958371877892,10,0.009157509157509158
10,0.9941634241245136,0.08594735514254478,11,0.010073260073260074
11,0.9941634241245136,0.07878507554733272,12,0.01098901098901099
12,0.9941634241245136,0.07272468512061482,13,0.011904761904761904
13,0.9941634241245136,0.06753006475485661,14,0.01282051282051282
14,0.9970817120622568,0.06321307431390688,15,0.013736263736263736
15,0.9980544747081712,0.059320074005550415,16,0.014652014652014652
16,0.9990272373540856,0.05588507373347119,17,0.015567765567765568
17,1.0,0.05283174015828965,18,0.016483516483516484
18,1.0,0.05005112225522177,19,0.0173992673992674
19,1.0,0.04754856614246068,20,0.018315018315018316
