,recall,precision,Top-K,CSSR
0,0.7529182879377432,0.7160037002775208,1,0.0009157509157509158
1,0.8628404669260701,0.410268270120259,2,0.0018315018315018315
2,0.9212062256809338,0.29201356768424297,3,0.0027472527472527475
3,0.943579766536965,0.22432932469935246,4,0.003663003663003663
4,0.9610894941634242,0.1827937095282146,5,0.004578754578754579
5,0.9698443579766537,0.15371569534381746,6,0.005494505494505495
6,0.9737354085603113,0.1322849213691027,7,0.00641025641025641
7,0.9766536964980544,0.11609620721554116,8,0.007326007326007326
8,0.9815175097276264,0.10371055606948298,9,0.008241758241758242
9,0.9844357976653697,0.09361702127659574,10,0.009157509157509158
10,0.9844357976653697,0.0851063829787234,11,0.010073260073260074
11,0.9863813229571985,0.07816836262719704,12,0.01098901098901099
12,0.9873540856031129,0.07222657083896677,13,0.011904761904761904
13,0.9883268482490273,0.06713360644905511,14,0.01282051282051282
14,0.9912451361867705,0.06284304656182547,15,0.013736263736263736
15,0.9912451361867705,0.05891535615171138,16,0.014652014652014652
16,0.9931906614785992,0.05555857865810524,17,0.015567765567765568
17,0.9931906614785992,0.05247199095487717,18,0.016483516483516484
18,0.9931906614785992,0.04971030722040995,19,0.0173992673992674
19,0.9941634241245136,0.04727104532839963,20,0.018315018315018316
