,recall,precision,Top-K,CSSR
0,0.6555269922879178,0.5612619222303742,1,0.00030998140111593303
1,0.8114824335904027,0.3473954512105649,2,0.0006199628022318661
2,0.87146529562982,0.2487160674981658,3,0.0009299442033477991
3,0.9065981148243359,0.19405722670579603,4,0.0012399256044637321
4,0.922879177377892,0.15803374908290535,5,0.0015499070055796653
5,0.9374464438731791,0.13377353876253362,6,0.0018598884066955983
6,0.9460154241645244,0.11571114138979142,7,0.0021698698078115313
7,0.9511568123393316,0.10179750550256786,8,0.0024798512089274642
8,0.9631533847472151,0.09162794489280182,9,0.002789832610043397
9,0.9682947729220223,0.08290535583272193,10,0.0030998140111593306
10,0.9725792630676949,0.07570199426398987,11,0.0034097954122752636
11,0.9768637532133676,0.06969919295671313,12,0.0037197768133911966
12,0.9794344473007712,0.06450702635588916,13,0.0040297582145071295
13,0.9794344473007712,0.05989938161618279,14,0.0043397396156230625
14,0.9802913453299057,0.05595500122279286,15,0.0046497210167389955
15,0.9811482433590403,0.052503668378576666,16,0.0049597024178549285
16,0.9811482433590403,0.049415217297483924,17,0.0052696838189708614
17,0.9820051413881749,0.046710687209586696,18,0.005579665220086794
18,0.9837189374464439,0.044329459010696216,19,0.005889646621202728
19,0.9854327335047129,0.04218635363169479,20,0.006199628022318661
