,recall,precision,Top-K,CSSR
0,0.6786632390745502,0.5810711665443874,1,0.00030998140111593303
1,0.8286203941730934,0.3547322083639032,2,0.0006199628022318661
2,0.8868894601542416,0.25311812179016874,3,0.0009299442033477991
3,0.919451585261354,0.19680851063829788,4,0.0012399256044637321
4,0.9417309340188518,0.16126192223037417,5,0.0015499070055796653
5,0.9562982005141388,0.13646368305209097,6,0.0018598884066955983
6,0.9682947729220223,0.1184362226181742,7,0.0021698698078115313
7,0.9751499571550986,0.10436537050623625,8,0.0024798512089274642
8,0.9777206512425022,0.0930137767995435,9,0.002789832610043397
9,0.9811482433590403,0.08400586940572267,10,0.0030998140111593306
10,0.9828620394173093,0.07650236777162676,11,0.0034097954122752636
11,0.9845758354755784,0.0702494497432135,12,0.0037197768133911966
12,0.9854327335047129,0.06490208251029968,13,0.0040297582145071295
13,0.987146529562982,0.060371030290325964,14,0.0043397396156230625
14,0.9880034275921166,0.05639520665199315,15,0.0046497210167389955
15,0.9897172236503856,0.05296221570066031,16,0.0049597024178549285
16,0.9914310197086547,0.04993310603771956,17,0.0052696838189708614
17,0.9931448157669237,0.04724056411510557,18,0.005579665220086794
18,0.9931448157669237,0.04475421863536317,19,0.005889646621202728
19,0.9940017137960583,0.0425531914893617,20,0.006199628022318661
