,recall,precision,Top-K,CSSR
0,0.6143451143451143,0.23140172278778387,1,4.53021654435082e-05
1,0.7671517671517671,0.14447924823805794,2,9.06043308870164e-05
2,0.8388773388773388,0.10532498042286609,3,0.0001359064963305246
3,0.8690228690228691,0.08183241973375098,4,0.0001812086617740328
4,0.8981288981288982,0.06765857478465152,5,0.000226510827217541
5,0.9147609147609148,0.05742625946228139,6,0.0002718129926610492
6,0.9324324324324325,0.05017339747175299,7,0.0003171151581045574
7,0.9407484407484408,0.04429326546593579,8,0.0003624173235480656
8,0.9459459459459459,0.039589315235360654,9,0.0004077194889915738
9,0.9532224532224532,0.03590446358653093,10,0.000453021654435082
10,0.9563409563409564,0.03274720580906955,11,0.0004983238198785902
11,0.9604989604989606,0.030148786217697728,12,0.0005436259853220984
12,0.9615384615384616,0.02785976748388651,13,0.0005889281507656066
13,0.9656964656964657,0.025981653428795166,14,0.0006342303162091148
14,0.9698544698544699,0.024353954581049334,15,0.000679532481652623
15,0.974012474012474,0.02292971808927173,16,0.0007248346470961312
16,0.975051975051975,0.021603943065088213,17,0.0007701368125396393
17,0.9771309771309772,0.020447228747933525,18,0.0008154389779831476
18,0.9792099792099792,0.019412273832584592,19,0.0008607411434266558
19,0.9802494802494802,0.01846123727486296,20,0.000906043308870164
