,recall,precision,Top-K,CSSR
0,0.7474012474012474,0.28151918559122946,1,4.53021654435082e-05
1,0.8877338877338877,0.16718872357086922,2,9.06043308870164e-05
2,0.9365904365904366,0.1175933176716262,3,0.0001359064963305246
3,0.9646569646569647,0.0908379013312451,4,0.0001812086617740328
4,0.9802494802494802,0.07384494909945184,5,0.000226510827217541
5,0.9833679833679834,0.061733228921952495,6,0.0002718129926610492
6,0.9854469854469855,0.053026065555431254,7,0.0003171151581045574
7,0.9896049896049897,0.04659357870007831,8,0.0003624173235480656
8,0.9896049896049897,0.04141651440006961,9,0.0004077194889915738
9,0.9916839916839917,0.03735317149569303,10,0.000453021654435082
10,0.9937629937629938,0.034028618210294015,11,0.0004983238198785902
11,0.9937629937629938,0.031192900026102845,12,0.0005436259853220984
12,0.9948024948024948,0.028823564845491235,13,0.0005889281507656066
13,0.9948024948024948,0.026764738785099003,14,0.0006342303162091148
14,0.9948024948024948,0.024980422866092405,15,0.000679532481652623
15,0.9948024948024948,0.02341914643696163,16,0.0007248346470961312
16,0.9948024948024948,0.022041549587728592,17,0.0007701368125396393
17,0.9958419958419958,0.020838771426085444,18,0.0008154389779831476
18,0.9958419958419958,0.019741993982607262,19,0.0008607411434266558
19,0.9958419958419958,0.0187548942834769,20,0.000906043308870164
