,recall,precision,Top-K,CSSR
0,0.6512425021422451,0.5575935436537051,1,0.00030998140111593303
1,0.8157669237360754,0.3492296404988995,2,0.0006199628022318661
2,0.8723221936589546,0.24896062606994376,3,0.0009299442033477991
3,0.9108826049700086,0.19497432134996331,4,0.0012399256044637321
4,0.9288774635818338,0.1590608950843727,5,0.0015499070055796653
5,0.9425878320479862,0.13450721447786745,6,0.0018598884066955983
6,0.9485861182519281,0.11602557383922021,7,0.0021698698078115313
7,0.9545844044558698,0.10216434336023478,8,0.0024798512089274642
8,0.961439588688946,0.09146490584494986,9,0.002789832610043397
9,0.9640102827763496,0.08253851797505503,10,0.0030998140111593306
10,0.9657240788346186,0.07516841192556527,11,0.0034097954122752636
11,0.9717223650385605,0.06933235509904623,12,0.0037197768133911966
12,0.9734361610968295,0.06411197020147864,13,0.0040297582145071295
13,0.9734361610968295,0.059532543758515875,14,0.0043397396156230625
14,0.976006855184233,0.05571044265101492,15,0.0046497210167389955
15,0.976006855184233,0.052228539985326485,16,0.0049597024178549285
16,0.9777206512425022,0.049242587717405376,17,0.0052696838189708614
17,0.9802913453299057,0.046629167685660715,18,0.005579665220086794
18,0.9802913453299057,0.04417500096536278,19,0.005889646621202728
19,0.9828620394173093,0.04207630227439472,20,0.006199628022318661
