,recall,precision,Top-K,CSSR
0,0.7217898832684825,0.6864014801110083,1,0.0009157509157509158
1,0.8589494163424124,0.408418131359852,2,0.0018315018315018315
2,0.9114785992217899,0.2889300030835646,3,0.0027472527472527475
3,0.9464980544747081,0.22502312673450509,4,0.003663003663003663
4,0.958171206225681,0.1822386679000925,5,0.004578754578754579
5,0.9678988326848249,0.1534073388837496,6,0.005494505494505495
6,0.9717898832684825,0.13202061583190167,7,0.00641025641025641
7,0.980544747081712,0.11655874190564293,8,0.007326007326007326
8,0.980544747081712,0.1036077705827937,9,0.008241758241758242
9,0.9834630350194552,0.09352451433857539,10,0.009157509157509158
10,0.9844357976653697,0.0851063829787234,11,0.010073260073260074
11,0.9863813229571985,0.07816836262719704,12,0.01098901098901099
12,0.9883268482490273,0.07229773002205934,13,0.011904761904761904
13,0.9883268482490273,0.06713360644905511,14,0.01282051282051282
14,0.9902723735408561,0.06278137526981191,15,0.013736263736263736
15,0.9902723735408561,0.05885753931544866,16,0.014652014652014652
16,0.9912451361867705,0.05544974696631659,17,0.015567765567765568
17,0.9931906614785992,0.05247199095487717,18,0.016483516483516484
18,0.995136186770428,0.0498076829446419,19,0.0173992673992674
19,0.9961089494163424,0.04736355226641998,20,0.018315018315018316
