,recall,precision,Top-K,CSSR
0,0.7817047817047817,0.29444009397024273,1,4.53021654435082e-05
1,0.9303534303534303,0.17521534847298356,2,9.06043308870164e-05
2,0.9604989604989606,0.12059514487079091,3,0.0001359064963305246
3,0.972972972972973,0.09162098668754894,4,0.0001812086617740328
4,0.9833679833679834,0.07407987470634299,5,0.000226510827217541
5,0.9896049896049897,0.06212477160010441,6,0.0002718129926610492
6,0.9906444906444907,0.05330573889696834,7,0.0003171151581045574
7,0.9927234927234927,0.04674040720438528,8,0.0003624173235480656
8,0.9937629937629938,0.041590533368137124,9,0.0004077194889915738
9,0.9937629937629938,0.03743148003132341,10,0.000453021654435082
10,0.9948024948024948,0.034064212999216914,11,0.0004983238198785902
11,0.9958419958419958,0.03125815713912816,12,0.0005436259853220984
12,0.9968814968814969,0.02888380218059153,13,0.0005889281507656066
13,0.9968814968814969,0.02682067345340642,14,0.0006342303162091148
14,0.997920997920998,0.025058731401722788,15,0.000679532481652623
15,0.998960498960499,0.023517032106499608,16,0.0007248346470961312
16,0.998960498960499,0.022133677276705514,17,0.0007701368125396393
17,0.998960498960499,0.020904028539110765,18,0.0008154389779831476
18,0.998960498960499,0.019803816510736514,19,0.0008607411434266558
19,0.998960498960499,0.018813625685199686,20,0.000906043308870164
